Agency,Business Title,Civil Service Title,Job Category,Full-Time/Part-Time indicator,Salary Range From,Salary Range To,Salary Frequency,Work Location
DEPT OF DESIGN & CONSTRUCTION,Senior Software Developer,COMPUTER SYSTEMS MANAGER,"Technology, Data & Innovation",F,56990,156829,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,College Aide,COLLEGE AIDE (ALL CITY DEPTS),"Engineering, Architecture, & Planning",P,15.5,19.9,Hourly,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,College Aide,COLLEGE AIDE (ALL CITY DEPTS),"Engineering, Architecture, & Planning",P,15.5,19.9,Hourly,30-30 Thomson Ave L I City Qns
DEPT OF HEALTH/MENTAL HYGIENE,"CATCH School Nurse, Bureau of School Health",PUBLIC HEALTH NURSE (SCHOOL HE,Health,P,40.79,40.79,Hourly,160 West 100Th Street Ny
DEPT OF HEALTH/MENTAL HYGIENE,"CATCH School Nurse, Bureau of School Health",PUBLIC HEALTH NURSE (SCHOOL HE,Health,P,40.79,40.79,Hourly,160 West 100Th Street Ny
TAXI & LIMOUSINE COMMISSION,Data Engineer,COMMUNITY COORDINATOR,"Policy, Research & Analysis",F,52524,61560,Annual,"31-00 47 Ave, 3 FL, LIC NY"
TAXI & LIMOUSINE COMMISSION,Data Engineer,COMMUNITY COORDINATOR,"Policy, Research & Analysis",F,52524,61560,Annual,"31-00 47 Ave, 3 FL, LIC NY"
MANHATTAN COMMUNITY BOARD #10,Community Coordinator,COMMUNITY COORDINATOR,Constituent Services & Community Programs,F,60000,65000,Annual,"215 W. 125Th St., N.Y."
MANHATTAN COMMUNITY BOARD #10,Community Coordinator,COMMUNITY COORDINATOR,Constituent Services & Community Programs,F,60000,65000,Annual,"215 W. 125Th St., N.Y."
TAXI & LIMOUSINE COMMISSION,Data Analyst,COMMUNITY ASSOCIATE,"Policy, Research & Analysis",F,50000,54000,Annual,"31-00 47 Ave, 3 FL, LIC NY"
TAXI & LIMOUSINE COMMISSION,Data Analyst,COMMUNITY ASSOCIATE,"Policy, Research & Analysis",F,50000,54000,Annual,"31-00 47 Ave, 3 FL, LIC NY"
DEPARTMENT OF TRANSPORTATION,Grant Project Manager,PROJECT MANAGER,"Finance, Accounting, & Procurement Policy, Research & Analysis",,55416,83151,Annual,55 Water St Ny Ny
DEPARTMENT OF TRANSPORTATION,Grant Project Manager,PROJECT MANAGER,"Finance, Accounting, & Procurement Policy, Research & Analysis",,55416,83151,Annual,55 Water St Ny Ny
TAXI & LIMOUSINE COMMISSION,Strategic Initiatives Analyst,COMMUNITY ASSOCIATE,"Policy, Research & Analysis",F,50000,54000,Annual,"33 Beaver St, New York Ny"
TAXI & LIMOUSINE COMMISSION,Strategic Initiatives Analyst,COMMUNITY ASSOCIATE,"Policy, Research & Analysis",F,50000,54000,Annual,"33 Beaver St, New York Ny"
ADMIN FOR CHILDREN'S SVCS,Payment Supervisor,PRINCIPAL ADMINISTRATIVE ASSOC,"Finance, Accounting, & Procurement",F,49390,59183,Annual,"150 William Street, New York N"
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,"Technology, Data & Innovation",F,15,17.5,Hourly,"1 Centre St., N.Y."
DEPARTMENT OF FINANCE,Summer College Intern,SUMMER COLLEGE INTERN,"Technology, Data & Innovation",F,15,17.5,Hourly,"1 Centre St., N.Y."
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,"Policy, Research & Analysis",P,19.93,24.73,Hourly,59 Maiden Lane
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,"Policy, Research & Analysis",P,19.93,24.73,Hourly,59 Maiden Lane
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,"Technology, Data & Innovation",F,19.93,24.73,Hourly,"1 Centre St., N.Y."
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,"Technology, Data & Innovation",F,19.93,24.73,Hourly,"1 Centre St., N.Y."
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,"Policy, Research & Analysis",F,19.93,24.73,Hourly,59 Maiden Lane
DEPARTMENT OF FINANCE,Summer Graduate Intern,SUMMER GRADUATE INTERN,"Policy, Research & Analysis",F,19.93,24.73,Hourly,59 Maiden Lane
FINANCIAL INFO SVCS AGENCY,FMS ARCHITECT/DEVELOPER,SENIOR IT ARCHITECT,"Technology, Data & Innovation",F,100000,115000,Annual,5 Manhattan West
FINANCIAL INFO SVCS AGENCY,FMS ARCHITECT/DEVELOPER,SENIOR IT ARCHITECT,"Technology, Data & Innovation",F,100000,115000,Annual,5 Manhattan West
DEPT OF HEALTH/MENTAL HYGIENE,"Director, Research, Evaluation and Planning, Brooklyn Neighborhood Health Action Center",CITY RESEARCH SCIENTIST,"Health Policy, Research & Analysis",F,82008,107770,Annual,485 Throop Ave Brooklyn
DEPT OF HEALTH/MENTAL HYGIENE,"Director, Research, Evaluation and Planning, Brooklyn Neighborhood Health Action Center",CITY RESEARCH SCIENTIST,"Health Policy, Research & Analysis",F,82008,107770,Annual,485 Throop Ave Brooklyn
DEPT OF ENVIRONMENT PROTECTION,Telecommunications Associate (Data),TELECOMMUNICATIONS ASSOCIATE (,"Technology, Data & Innovation",F,42129,73239,Annual,96-05 Horace Harding Expway
FINANCIAL INFO SVCS AGENCY,APPLICATION FRAMEWORK AND SECURITY ARCHITECT,SENIOR IT ARCHITECT,"Technology, Data & Innovation",F,100000,135000,Annual,5 Manhattan West
FINANCIAL INFO SVCS AGENCY,APPLICATION FRAMEWORK AND SECURITY ARCHITECT,SENIOR IT ARCHITECT,"Technology, Data & Innovation",F,100000,135000,Annual,5 Manhattan West
DEPT OF HEALTH/MENTAL HYGIENE,"Nurse Practitioner, Bureau of Sexually Transmitted Infections",NURSE PRACTITIONER(DEPT HEALTH,Health,F,70363,107991,Annual,NYC - All Boroughs
DEPT OF HEALTH/MENTAL HYGIENE,"Nurse Practitioner, Bureau of Sexually Transmitted Infections",NURSE PRACTITIONER(DEPT HEALTH,Health,F,70363,107991,Annual,NYC - All Boroughs
DEPT OF HEALTH/MENTAL HYGIENE,eVital Project Manager,CITY RESEARCH SCIENTIST,"Health Policy, Research & Analysis",F,73305,91045.08,Annual,"125 Worth Street, Nyc"
DEPT OF HEALTH/MENTAL HYGIENE,eVital Project Manager,CITY RESEARCH SCIENTIST,"Health Policy, Research & Analysis",F,73305,91045.08,Annual,"125 Worth Street, Nyc"
ADMIN FOR CHILDREN'S SVCS,Child Protective Manager,DIRECTOR OF FIELD OPERATIONS (,Social Services,F,56990,97000,Annual,110 William St. N Y
LAW DEPARTMENT,Cluster Leader,LEGAL SECRETARIAL ASSISTANT AL,Legal Affairs,,50000,50000,Annual,"100 Church St., N.Y."
LAW DEPARTMENT,Cluster Leader,LEGAL SECRETARIAL ASSISTANT AL,Legal Affairs,,50000,50000,Annual,"100 Church St., N.Y."
FINANCIAL INFO SVCS AGENCY,TIMEKEEPER,ADM MANAGER-NON-MGRL FRM M1/M2,Administration & Human Resources,F,55590,75000,Annual,5 Manhattan West
DEPT OF DESIGN & CONSTRUCTION,Mechanical Engineer,MECHANICAL ENGINEER,"Engineering, Architecture, & Planning",F,78210,108657,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Mechanical Engineer,MECHANICAL ENGINEER,"Engineering, Architecture, & Planning",F,78210,108657,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Electrical Engineer,ELECTRICAL ENGINEER,"Engineering, Architecture, & Planning",F,78210,108657,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Electrical Engineer,ELECTRICAL ENGINEER,"Engineering, Architecture, & Planning",F,78210,108657,Annual,30-30 Thomson Ave L I City Qns
DEPT OF ENVIRONMENT PROTECTION,Life Cycle Manager,ASSOCIATE PROJECT MANAGER,"Engineering, Architecture, & Planning",F,72476,106222,Annual,"71 Smith Avenue, Kingston, Ny"
DEPT OF ENVIRONMENT PROTECTION,Life Cycle Manager,ASSOCIATE PROJECT MANAGER,"Engineering, Architecture, & Planning",F,72476,106222,Annual,"71 Smith Avenue, Kingston, Ny"
DEPT OF ENVIRONMENT PROTECTION,Watershed Maintainer,WATERSHED MAINTAINER,Building Operations & Maintenance,F,39838,58269,Annual,"2389 Route 28A, Shokan, Ny"
DEPT OF ENVIRONMENT PROTECTION,Watershed Maintainer,WATERSHED MAINTAINER,Building Operations & Maintenance,F,39838,58269,Annual,"2389 Route 28A, Shokan, Ny"
DEPT OF ENVIRONMENT PROTECTION,Watershed Maintainer Ì¢‰âÂ‰ÛÏ Tree Task Force,WATERSHED MAINTAINER,Building Operations & Maintenance,F,39838,58269,Annual,1286 Old Route 6
DEPT OF ENVIRONMENT PROTECTION,Watershed Maintainer Ì¢‰âÂ‰ÛÏ Tree Task Force,WATERSHED MAINTAINER,Building Operations & Maintenance,F,39838,58269,Annual,1286 Old Route 6
HRA/DEPT OF SOCIAL SERVICES,"EXECUTIVE DIRECTOR, HRA TECHNOLOGY/SPECIAL SERVICES SYSTEMS",COMPUTER SYSTEMS MANAGER,"Technology, Data & Innovation Social Services",F,69940,137191,Annual,15 Metrotech
HRA/DEPT OF SOCIAL SERVICES,"EXECUTIVE DIRECTOR, HRA TECHNOLOGY/ELIGIBILITY SYSTEMS",COMPUTER SYSTEMS MANAGER,"Technology, Data & Innovation Social Services",F,69940,137191,Annual,15 Metrotech
DEPARTMENT OF CORRECTION,Performance Management Specialist,COMMUNITY COORDINATOR,Administration & Human Resources,F,52524,60403,Annual,75-20 Astoria Blvd
DEPARTMENT OF CORRECTION,Performance Management Specialist,COMMUNITY COORDINATOR,Administration & Human Resources,F,52524,60403,Annual,75-20 Astoria Blvd
DEPARTMENT OF CORRECTION,Auto Mechanic (Diesel),AUTO MECHANIC (DIESEL),"Engineering, Architecture, & Planning Building Operations & Maintenance",F,277.04,322.4,Daily,"Hazen St-Trans. Div., E. Elm,"
DEPARTMENT OF CORRECTION,Auto Mechanic (Diesel),AUTO MECHANIC (DIESEL),"Engineering, Architecture, & Planning Building Operations & Maintenance",F,277.04,322.4,Daily,"Hazen St-Trans. Div., E. Elm,"
HRA/DEPT OF SOCIAL SERVICES,"EXECUTIVE DIRECTOR, HOMELESSNESS PREVENTION TECHNOLOGIES",COMPUTER SYSTEMS MANAGER,"Technology, Data & Innovation Social Services",F,69940,137191,Annual,15 Metrotech
HRA/DEPT OF SOCIAL SERVICES,"EXECUTIVE DIRECTOR, TECHNOLOGY ENABLEMENT",COMPUTER SYSTEMS MANAGER,"Technology, Data & Innovation Social Services",F,69940,137191,Annual,15 Metrotech
NYC EMPLOYEES RETIREMENT SYS,ADMINISTRATIVE ACCOUNTANT,ADMINISTRATIVE ACCOUNTANT,"Finance, Accounting, & Procurement",F,56990,156829,Annual,"335 Adams Street, Brooklyn Ny"
NYC EMPLOYEES RETIREMENT SYS,ADMINISTRATIVE ACCOUNTANT,ADMINISTRATIVE ACCOUNTANT,"Finance, Accounting, & Procurement",F,56990,156829,Annual,"335 Adams Street, Brooklyn Ny"
DEPT OF ENVIRONMENT PROTECTION,Assistant Civil Engineer,ASSISTANT CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,55416,63728,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Assistant Civil Engineer,ASSISTANT CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,55416,63728,Annual,96-05 Horace Harding Expway
DEPARTMENT OF CITY PLANNING,EEO / Diversity and Inclusion Specialist,LABOR RELATIONS ANALYST,Administration & Human Resources,F,70000,79901,Annual,"120 Broadway, New York, NY"
DEPARTMENT OF CITY PLANNING,EEO / Diversity and Inclusion Specialist,LABOR RELATIONS ANALYST,Administration & Human Resources,F,70000,79901,Annual,"120 Broadway, New York, NY"
NYC HOUSING AUTHORITY,"Community Assistant, FSS AIDE",COMMUNITY ASSISTANT,Constituent Services & Community Programs,F,31573,40962,Annual,REES - Asset Bldg&Fin Literacy
NYC HOUSING AUTHORITY,"Community Assistant, FSS AIDE",COMMUNITY ASSISTANT,Constituent Services & Community Programs,F,31573,40962,Annual,REES - Asset Bldg&Fin Literacy
DEPT OF PARKS & RECREATION,Deputy Administrator RandallÌ¢‰âÂ‰ã¢s Island Park,ADMINISTRATIVE PARKS & RECREAT,Building Operations & Maintenance,F,90000,95000,Annual,24 West 61 Street
HRA/DEPT OF SOCIAL SERVICES,EARLY INTERVENTION OUTREACH TEAM (EIOT) SUPERVISOR,SUPERVISOR I (SOCIAL SERVICES),Social Services,F,49708,57164,Annual,"109 E 16Th St., N.Y."
DEPT OF PARKS & RECREATION,Deputy Administrator RandallÌ¢‰âÂ‰ã¢s Island Park,ADMINISTRATIVE COMMUNITY RELAT,Building Operations & Maintenance,F,90000,95000,Annual,24 West 61 Street
POLICE DEPARTMENT,"Criminalist, IA",CRIMINALIST,"Public Safety, Inspections, & Enforcement",F,50351,63456,Annual,150-14 Jamaica Ave
POLICE DEPARTMENT,"Criminalist, IA",CRIMINALIST,"Public Safety, Inspections, & Enforcement",F,50351,63456,Annual,150-14 Jamaica Ave
DEPT OF PARKS & RECREATION,Deputy Administrator RandallÌ¢‰âÂ‰ã¢s Island Park,ADMINISTRATIVE MANAGER,Building Operations & Maintenance,F,90000,95000,Annual,24 West 61 Street
DEPT OF PARKS & RECREATION,Deputy Administrator RandallÌ¢‰âÂ‰ã¢s Island Park,ADMINISTRATIVE STAFF ANALYST (,Building Operations & Maintenance,F,90000,95000,Annual,24 West 61 Street
DEPT OF DESIGN & CONSTRUCTION,Resident Engineer,ASSISTANT CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,55416,83151,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Resident Engineer,ASSISTANT CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,55416,83151,Annual,30-30 Thomson Ave L I City Qns
HRA/DEPT OF SOCIAL SERVICES,REGIONAL/ADMINISTRATIVE OFFICE LIAISON,ASSOCIATE JOB OPPORTUNITY SPEC,Social Services,F,65049,74806,Annual,"109 E 16Th St., N.Y."
HRA/DEPT OF SOCIAL SERVICES,JOB CENTER DIRECTOR,ADMINISTRATIVE JOB OPPORTUNITY,Social Services,F,73420,84433,Annual,88-11 165 Street Jamaica
HRA/DEPT OF SOCIAL SERVICES,Job Center Director,ADMINISTRATIVE JOB OPPORTUNITY,Social Services,F,73420,84433,Annual,"1910 Monterey Ave., Bronx"
HRA/DEPT OF SOCIAL SERVICES,DEPUTY DIRECTOR,ADMINISTRATIVE JOB OPPORTUNITY,Administration & Human Resources Social Services,F,67982,78179,Annual,"32-20 Northern Blvd, L.I.C. Ny"
HRA/DEPT OF SOCIAL SERVICES,DEPUTY DIRECTOR,ADMINISTRATIVE JOB OPPORTUNITY,Administration & Human Resources Social Services,F,67982,78179,Annual,4055 Tenth Avenue
DEPT OF DESIGN & CONSTRUCTION,Design Engineer,ASSISTANT CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,55416,83151,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Design Engineer,ASSISTANT CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,55416,83151,Annual,30-30 Thomson Ave L I City Qns
LAW DEPARTMENT,Process Server/Messenger (Part Time),CLERICAL ASSOCIATE,Legal Affairs,P,19.3377,31.3279,Hourly,"100 Church St., N.Y."
LAW DEPARTMENT,Process Server/Messenger (Part Time),CLERICAL ASSOCIATE,Legal Affairs,P,19.3377,31.3279,Hourly,"100 Church St., N.Y."
DEPARTMENT OF FINANCE,Group Chief/Supervisor,CITY TAX AUDITOR,"Finance, Accounting, & Procurement",F,69000,79350,Annual,375 Pearl Street
DEPARTMENT OF CORRECTION,Office Manager,PROGRAM SPECIALIST  CORRECTION,Administration & Human Resources,F,64507,74183,Annual,75-20 Astoria Blvd
OFFICE OF THE COMPTROLLER,Senior Contract Analyst,INVESTMENT ANALYST,"Finance, Accounting, & Procurement",F,65000,75000,Annual,"1 Centre St., N.Y."
OFFICE OF THE COMPTROLLER,Senior Contract Analyst,INVESTMENT ANALYST,"Finance, Accounting, & Procurement",F,65000,75000,Annual,"1 Centre St., N.Y."
DISTRICT ATTORNEY KINGS COUNTY,.Net Developer,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",F,79564,99161,Annual,"350 Jay St, Brooklyn  Ny"
DISTRICT ATTORNEY KINGS COUNTY,.Net Developer,COMPUTER SPECIALIST (SOFTWARE),"Technology, Data & Innovation",F,79564,99161,Annual,"350 Jay St, Brooklyn  Ny"
DEPT OF PARKS & RECREATION,Project Development Coordinator for Planning,COMMUNITY COORDINATOR,"Engineering, Architecture, & Planning",F,52524,81535,Annual,"Arsenal 830 Fifth Ave, New Yor"
DEPT OF PARKS & RECREATION,Project Development Coordinator for Planning,COMMUNITY COORDINATOR,"Engineering, Architecture, & Planning",F,52524,81535,Annual,"Arsenal 830 Fifth Ave, New Yor"
DEPT OF PARKS & RECREATION,Project Development Coordinator for Planning,COMMUNITY COORDINATOR,"Engineering, Architecture, & Planning",F,52524,81535,Annual,"Arsenal 830 Fifth Ave, New Yor"
DEPT OF PARKS & RECREATION,Resident Engineer,ASSOCIATE PROJECT MANAGER,"Engineering, Architecture, & Planning",F,73000,75651,Annual,Flushing Meadow Pk Olmsted Ctr
DEPT OF PARKS & RECREATION,Resident Engineer,ASSOCIATE PROJECT MANAGER,"Engineering, Architecture, & Planning",F,73000,75651,Annual,Flushing Meadow Pk Olmsted Ctr
LAW DEPARTMENT,Claim Specialist Level 3 - Central Trainer,CLAIM SPECIALIST,Legal Affairs,F,83325,83325,Annual,"100 Church St., N.Y."
DEPT OF PARKS & RECREATION,Resident Engineer,CONSTRUCTION PROJECT MANAGER,"Engineering, Architecture, & Planning",F,73000,75651,Annual,Flushing Meadow Pk Olmsted Ctr
DEPT OF PARKS & RECREATION,Resident Engineer,CONSTRUCTION PROJECT MANAGER,"Engineering, Architecture, & Planning",F,73000,75651,Annual,Flushing Meadow Pk Olmsted Ctr
DEPT OF PARKS & RECREATION,Resident Engineer,CONSTRUCTION PROJECT MANAGER,"Engineering, Architecture, & Planning",F,73000,75651,Annual,Flushing Meadow Pk Olmsted Ctr
ADMIN FOR CHILDREN'S SVCS,Child Protective Manager,DIRECTOR OF FIELD OPERATIONS (,Social Services,F,56990,97000,Annual,"150 William Street, New York N"
DEPT OF PARKS & RECREATION,Administrative Assistant,COMMUNITY ASSOCIATE,Administration & Human Resources,F,37217,61936,Annual,Flushing Meadow Pk Olmsted Ctr
DEPT OF PARKS & RECREATION,Administrative Assistant,COMMUNITY ASSOCIATE,Administration & Human Resources,F,37217,61936,Annual,Flushing Meadow Pk Olmsted Ctr
DEPT OF PARKS & RECREATION,Administrative Assistant,COMMUNITY ASSOCIATE,Administration & Human Resources,F,37217,61936,Annual,Flushing Meadow Pk Olmsted Ctr
BOROUGH PRESIDENT-QUEENS,Engineering,CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,65783,95270,Annual,"120-55 Queens Blvd, Queens Ny"
BOROUGH PRESIDENT-QUEENS,Engineering,CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,65783,95270,Annual,"120-55 Queens Blvd, Queens Ny"
BUSINESS INTEGRITY COMMISSION,Deputy Commissioner of Investigations,DEPUTY COMMISSIONER OF INVESTI,"Public Safety, Inspections, & Enforcement",F,100000,115000,Annual,"100 Church St., N.Y."
BUSINESS INTEGRITY COMMISSION,Deputy Commissioner of Investigations,DEPUTY COMMISSIONER OF INVESTI,"Public Safety, Inspections, & Enforcement",F,100000,115000,Annual,"100 Church St., N.Y."
DEPT OF HEALTH/MENTAL HYGIENE,"Deputy Director, Bureau of Veterinary and Pest Control Services",ASSOCIATE PUBLIC HEALTH SANITA,Health,,71535,103680,Annual,22 Cortlandt Street
DEPT OF HEALTH/MENTAL HYGIENE,"Deputy Director, Bureau of Veterinary and Pest Control Services",ASSOCIATE PUBLIC HEALTH SANITA,Health,,71535,103680,Annual,22 Cortlandt Street
NYC EMPLOYEES RETIREMENT SYS,AGENCY ATTORNEY,AGENCY ATTORNEY,Legal Affairs,F,77224,112000,Annual,"335 Adams Street, Brooklyn Ny"
NYC EMPLOYEES RETIREMENT SYS,AGENCY ATTORNEY,AGENCY ATTORNEY,Legal Affairs,F,77224,112000,Annual,"335 Adams Street, Brooklyn Ny"
DEPARTMENT OF TRANSPORTATION,Management Auditor,MANAGEMENT AUDITOR,"Policy, Research & Analysis",F,54382,87000,Annual,34-02 Queens Boulevard Long Is
DEPT OF HEALTH/MENTAL HYGIENE,"Environmental Support Clerk, Bureau of Environmental Disease and Injury Prevention",CLERICAL ASSOCIATE,Health,,38851,51068.88,Annual,"125 Worth Street, Nyc"
DEPT OF HEALTH/MENTAL HYGIENE,"Environmental Support Clerk, Bureau of Environmental Disease and Injury Prevention",CLERICAL ASSOCIATE,Health,,38851,51068.88,Annual,"125 Worth Street, Nyc"
NYC HOUSING AUTHORITY,ASSISTANT RESIDENT BUILDING SUPT (HA),ASSISTANT RESIDENT BUILDING SU,Building Operations & Maintenance,F,46233,70808,Annual,Morrisania Air Rights
NYC EMPLOYEES RETIREMENT SYS,ADMINISTRATIVE LABOR RELATIONS ANALYST,ADMINISTRATIVE LABOR RELATIONS,"Administration & Human Resources Policy, Research & Analysis",F,120000,145000,Annual,"335 Adams Street, Brooklyn Ny"
NYC EMPLOYEES RETIREMENT SYS,ADMINISTRATIVE LABOR RELATIONS ANALYST,ADMINISTRATIVE LABOR RELATIONS,"Administration & Human Resources Policy, Research & Analysis",F,120000,145000,Annual,"335 Adams Street, Brooklyn Ny"
HOUSING PRESERVATION & DVLPMNT,HLD Clerical Support,COMMUNITY ASSOCIATE,Administration & Human Resources,F,37217,42799,Annual,100 Gold Street
HOUSING PRESERVATION & DVLPMNT,HLD Clerical Support,COMMUNITY ASSOCIATE,Administration & Human Resources,F,37217,42799,Annual,100 Gold Street
HOUSING PRESERVATION & DVLPMNT,EOD Clerical Support,COMMUNITY ASSOCIATE,Administration & Human Resources,F,37217,42799,Annual,"105 East 106 Street, New York,"
HOUSING PRESERVATION & DVLPMNT,EOD Clerical Support,COMMUNITY ASSOCIATE,Administration & Human Resources,F,37217,42799,Annual,"105 East 106 Street, New York,"
HOUSING PRESERVATION & DVLPMNT,EOD Clerical Support,COMMUNITY ASSOCIATE,Administration & Human Resources,F,37217,42799,Annual,"516 Bergen St., Brooklyn"
HOUSING PRESERVATION & DVLPMNT,EOD Clerical Support,COMMUNITY ASSOCIATE,Administration & Human Resources,F,37217,42799,Annual,"516 Bergen St., Brooklyn"
